year,rank,title,imdb_score,num_ratings
1980,1,Star Wars: Episode V - The Empire Strikes Back,8.7,1491181
1980,2,The Shining,8.4,1213270
1980,3,Raging Bull,8.1,407069
1980,4,Airplane!,7.7,284492
1980,5,The Elephant Man,8.2,280273
1980,6,The Blues Brothers,7.9,227837
1980,7,Friday the 13th,6.4,173548
1980,8,Caddyshack,7.2,133712
1980,9,Superman II,6.8,123908
1980,10,The Fog,6.8,90906
1980,11,The Blue Lagoon,5.8,82589
1980,12,Cannibal Holocaust,5.8,66297
1980,13,Flash Gordon,6.5,65694
1980,14,The Gods Must Be Crazy,7.3,62653
1980,15,Dressed to Kill,7,55577
1980,16,The Changeling,7.1,44136
1980,17,9 to 5,6.9,42876
1980,18,Altered States,6.9,42006
1980,19,Kagemusha: The Shadow Warrior,7.9,40655
1980,20,Popeye,5.4,37312
