year,rank,title,imdb_score,num_ratings
1993,1,Schindler's List,9,1573175
1999,2,American Beauty,8.3,1273504
1994,3,The Shawshank Redemption,9.3,3156771
1994,4,Pulp Fiction,8.8,2412985
1995,5,Braveheart,8.3,1154106
1991,6,The Silence of the Lambs,8.6,1703532
1990,7,Goodfellas,8.7,1377438
1992,8,Unforgiven,8.2,465568
1994,9,Forrest Gump,8.8,2471201
1998,10,Saving Private Ryan,8.6,1623284
1997,11,L.A. Confidential,8.2,655148
1997,12,Life Is Beautiful,8.6,805941
1990,13,Dances with Wolves,8,307881
1996,14,Fargo,8.1,779919
1999,15,The Green Mile,8.6,1545634
1999,16,The Sixth Sense,8.2,1134763
1999,17,The Matrix,8.7,2226714
1995,18,The Usual Suspects,8.5,1228906
1999,19,Fight Club,8.8,2572730
1995,20,Se7en,8.6,1996912
1997,21,Good Will Hunting,8.4,1199080
1999,22,The Insider,7.8,191146
1996,23,Secrets & Lies,8,51057
1993,24,The Remains of the Day,7.8,91961
1991,25,Terminator 2: Judgment Day,8.6,1273844
1991,26,JFK,8,180886
1991,27,Beauty and the Beast,8,502664
1998,28,American History X,8.5,1264679
1994,29,Léon: The Professional,8.5,1341296
1993,30,In the Name of the Father,8.1,201489
1994,31,Satantango,8.2,13991
1997,32,Titanic,8,1380273
1998,33,Shakespeare in Love,7.1,241986
1999,34,All About My Mother,7.8,108998
1994,35,Three Colors: Red,8.1,116246
1991,36,A Brighter Summer Day,8.2,14805
1996,37,The English Patient,7.4,212526
1998,38,The Truman Show,8.2,1352882
1997,39,As Good as It Gets,7.7,336405
1994,40,The Lion King,8.5,1247326
1998,41,Central Station,8,50190
1991,42,Raise the Red Lantern,8.1,37641
1997,43,Character,7.7,11934
1997,44,Princess Mononoke,8.3,478601
1996,45,Trainspotting,8.1,764802
1992,46,Reservoir Dogs,8.3,1162168
1995,47,Toy Story,8.3,1162142
1993,48,The Fugitive,7.8,343588
1994,49,In the Heat of the Sun,8,6211
1994,50,Andaz Apna Apna,8,57693
1995,51,Sense and Sensibility,7.7,136170
1998,52,The Celebration,8,100136
1992,53,Scent of a Woman,8,366282
1997,54,Children of Heaven,8.2,89088
1995,55,Heat,8.3,792892
1996,56,The Bandit,8.1,75063
1999,57,Being John Malkovich,7.7,368039
1999,58,Magnolia,8,347987
1994,59,The Postman,7.8,41189
1996,60,Kolya,7.7,16914
1998,61,"Lock, Stock and Two Smoking Barrels",8.1,647039
1993,62,Farewell My Concubine,8.1,36595
1994,63,Before the Rain,7.8,16605
1998,64,Satya,8.3,18322
1993,65,Groundhog Day,8,733857
1998,66,The Big Lebowski,8.1,911519
1994,67,To Live,8.3,22141
1990,68,Journey of Hope,7.5,2484
1993,69,The Piano,7.5,100628
1998,70,Elizabeth,7.4,109739
1999,71,Toy Story 2,7.9,663460
1997,72,The Sweet Hereafter,7.4,38059
1994,73,Ed Wood,7.8,190799
1995,74,Apollo 13,7.7,334067
1992,75,A Few Good Men,7.7,314064
1997,76,Boogie Nights,7.9,302833
1998,77,The Thin Red Line,7.6,211606
1998,78,Run Lola Run,7.6,216931
1999,79,The Straight Story,8,108080
1996,80,Sling Blade,8,104289
1990,81,The Godfather Part III,7.5,451525
1995,82,12 Monkeys,8,675974
1999,83,The Cider House Rules,7.4,108967
1991,84,Close to Eden,7.5,4049
1990,85,Awakenings,7.8,175448
1995,86,Underground,8,63907
1999,87,Sarfarosh,8.1,28579
1995,88,Casino,8.2,613234
1994,89,Burnt by the Sun,7.8,17200
1991,90,The Elementary School,7.7,3460
1995,91,Before Sunrise,8.1,373111
1990,92,Close-Up,8.2,26419
1997,93,Neon Genesis Evangelion: The End of Evangelion,8.1,75299
1998,94,Gods and Monsters,7.3,34114
1996,95,Breaking the Waves,7.8,75500
1992,96,Howards End,7.3,38389
1990,97,Cyrano de Bergerac,7.5,27377
1993,98,Three Colors: Blue,7.8,118108
1994,99,Quiz Show,7.5,77314
1993,100,Jurassic Park,8.2,1165470
