year,rank,title,imdb_score,num_ratings
1997,1,Starship Troopers,7.3,343625
1994,2,Pulp Fiction,8.8,2412985
1994,3,The Shawshank Redemption,9.3,3156771
1990,4,Goodfellas,8.7,1377438
1994,5,Forrest Gump,8.8,2471201
1995,6,Se7en,8.6,1996912
1995,7,Toy Story,8.3,1162142
1993,8,Jurassic Park,8.2,1165470
1999,9,The Sixth Sense,8.2,1134763
1999,10,The Matrix,8.7,2226714
1997,11,Good Will Hunting,8.4,1199080
1993,12,Groundhog Day,8,733857
1995,13,The Usual Suspects,8.5,1228906
1996,14,2 Days in the Valley,6.5,22714
1998,15,American History X,8.5,1264679
1998,16,The Big Lebowski,8.1,911519
1994,17,Dumb and Dumber,7.3,440402
1997,18,Grosse Pointe Blank,7.3,104523
1994,19,Léon: The Professional,8.5,1341296
1997,20,The Fifth Element,7.6,540162
1998,21,Ronin,7.2,206716
1998,22,The Truman Show,8.2,1352882
1996,23,Fargo,8.1,779919
1999,24,American Beauty,8.3,1273504
1992,25,Unforgiven,8.2,465568
1999,26,Sleepy Hollow,7.3,410478
1990,27,Dances with Wolves,8,307881
1997,28,L.A. Confidential,8.2,655148
1994,29,Ed Wood,7.8,190799
1999,30,The Ninth Gate,6.7,208816
1995,31,Heat,8.3,792892
1995,32,Apollo 13,7.7,334067
1995,33,12 Monkeys,8,675974
1996,34,Independence Day,7,642582
1998,35,"Lock, Stock and Two Smoking Barrels",8.1,647039
1999,36,Office Space,7.6,306484
1994,37,Interview with the Vampire,7.5,373942
1990,38,Total Recall,7.5,378490
1998,39,Fear and Loathing in Las Vegas,7.4,317742
1993,40,Dazed and Confused,7.6,214648
1996,41,Jerry Maguire,7.3,308177
1995,42,Leaving Las Vegas,7.5,144148
1995,43,Babe,6.9,141404
1993,44,The Fugitive,7.8,343588
1997,45,As Good as It Gets,7.7,336405
1997,46,Donnie Brasco,7.7,353853
1994,47,Speed,7.3,419991
1997,48,Men in Black,7.3,658634
1997,49,Austin Powers: International Man of Mystery,7,271853
1994,50,Quiz Show,7.5,77314
1992,51,My Cousin Vinny,7.6,156281
1991,52,Thelma & Louise,7.6,190941
1996,53,Trainspotting,8.1,764802
1992,54,The Last of the Mohicans,7.6,204676
1992,55,Basic Instinct,7.1,240998
1996,56,From Dusk Till Dawn,7.2,367049
1991,57,JFK,8,180886
1990,58,Tremors,7.2,164572
1993,59,Carlito's Way,7.9,246142
1993,60,Sleepless in Seattle,6.8,205433
1992,61,A Few Good Men,7.7,314064
1993,62,Falling Down,7.5,224067
1991,63,Cape Fear,7.3,240578
1996,64,The Rock,7.4,377975
1990,65,Ghost,7.1,254561
1996,66,Mars Attacks!,6.4,257152
1997,67,The Game,7.7,466372
1997,68,The Full Monty,7.2,119265
1997,69,Contact,7.5,310571
1995,70,Crimson Tide,7.4,135006
1991,71,The Rocketeer,6.6,65301
1993,72,Cliffhanger,6.5,147515
1992,73,Glengarry Glen Ross,7.6,125939
1992,74,The Crying Game,7.2,63117
1996,75,Ransom,6.7,143120
1995,76,Dead Man Walking,7.5,107853
1999,77,Payback,7,152923
1998,78,Out of Sight,7,105146
1997,79,Breakdown,7,68459
1999,80,Magnolia,8,347987
1998,81,The Negotiator,7.3,166735
1991,82,The Fisher King,7.5,96089
1993,83,Schindler's List,9,1573175
1999,84,Fight Club,8.8,2572730
1994,85,The Lion King,8.5,1247326
1997,86,Jackie Brown,7.5,400751
1999,87,Being John Malkovich,7.7,368039
1992,88,The Player,7.5,71628
1998,89,Rushmore,7.6,207317
1991,90,Barton Fink,7.6,135002
1991,91,The Silence of the Lambs,8.6,1703532
1995,92,Clueless,6.9,274944
1997,93,Princess Mononoke,8.3,478601
1998,94,Saving Private Ryan,8.6,1623284
1990,95,Edward Scissorhands,7.8,561657
1990,96,Wild at Heart,7.2,111577
1995,97,Casino,8.2,613234
1992,98,Reservoir Dogs,8.3,1162168
1993,99,True Romance,7.9,259059
1999,100,Eyes Wide Shut,7.5,421408
