year,rank,title,imdb_score,num_ratings
1994,1,Pulp Fiction,8.8,2412985
1993,2,Schindler's List,9,1573175
1992,3,Malcolm X,7.7,110102
1997,4,Princess Mononoke,8.3,478601
1999,5,Magnolia,8,347987
1991,6,Europa,7.5,24485
1995,7,Sense and Sensibility,7.7,136170
1997,8,Life Is Beautiful,8.6,805941
1990,9,Goodfellas,8.7,1377438
1998,10,Rushmore,7.6,207317
1991,11,The Silence of the Lambs,8.6,1703532
1996,12,Hamlet,7.7,41732
1990,13,Dreams,7.7,32235
1992,14,Hard Boiled,7.7,58549
1996,15,Fargo,8.1,779919
1994,16,Eat Drink Man Woman,7.8,24837
1994,17,The Shawshank Redemption,9.3,3156771
1999,18,Audition,7.1,98204
1995,19,Dead Man Walking,7.5,107853
1997,20,The Sweet Hereafter,7.4,38059
1992,21,The Player,7.5,71628
1991,22,Once Upon a Time in China,7.2,21207
1993,23,The Wedding Banquet,7.6,18736
1996,24,Breaking the Waves,7.8,75500
1995,25,Toy Story,8.3,1162142
1997,26,Chasing Amy,7.2,147926
1990,27,Rosencrantz & Guildenstern Are Dead,7.3,25498
1997,28,Perfect Blue,8,118749
1993,29,The Nightmare Before Christmas,7.9,409243
1999,30,Being John Malkovich,7.7,368039
1994,31,Quiz Show,7.5,77314
1998,32,Saving Private Ryan,8.6,1623284
1991,33,Barton Fink,7.6,135002
1992,34,Porco Rosso,7.7,114937
1995,35,Dead Man,7.5,108473
1998,36,Fear and Loathing in Las Vegas,7.4,317742
1993,37,Philadelphia,7.7,272302
1991,38,Raise the Red Lantern,8.1,37641
1997,39,The Ice Storm,7.3,63334
1999,40,Felicia's Journey,7,8739
1991,41,Only Yesterday,7.6,41759
1990,42,Reversal of Fortune,7.2,21253
1996,43,Secrets & Lies,8,51057
1992,44,Unforgiven,8.2,465568
1999,45,Romance,6.5,22
1995,46,Whisper of the Heart,7.8,82080
1997,47,Amistad,7.3,87157
1994,48,Natural Born Killers,7.2,266293
1996,49,Bound,7.3,66461
1993,50,The Remains of the Day,7.8,91961
1995,51,The Usual Suspects,8.5,1228906
1991,52,The Adjuster,6.6,4020
1998,53,Pleasantville,7.5,142606
1992,54,Bad Lieutenant,7,52022
1999,55,The Cider House Rules,7.4,108967
1991,56,Until the End of the World,6.8,12381
1997,57,Boogie Nights,7.9,302833
1995,58,Memories,7.5,25512
1991,59,Rhapsody in August,7.2,8174
1996,60,The People vs. Larry Flynt,7.3,105279
1998,61,Dark City,7.5,224845
1991,62,Naked Lunch,6.9,60469
1993,63,Calendar,6.7,2527
1999,64,My Neighbors the Yamadas,7.1,17561
1997,65,Face/Off,7.3,424301
1992,66,Reservoir Dogs,8.3,1162168
1998,67,The Big Lebowski,8.1,911519
1999,68,The Insider,7.8,191146
1990,69,Miller's Crossing,7.7,148686
1991,70,Beauty and the Beast,8,502664
1994,71,The Lion King,8.5,1247326
1999,72,The Sixth Sense,8.2,1134763
1997,73,L.A. Confidential,8.2,655148
1993,74,A Perfect World,7.5,92924
1996,75,Michael Collins,7.1,35919
1999,76,Fight Club,8.8,2572730
1994,77,Ed Wood,7.8,190799
1996,78,Bottle Rocket,6.9,87957
1995,79,Se7en,8.6,1996912
1990,80,Edward Scissorhands,7.8,561657
1997,81,Jackie Brown,7.5,400751
1998,82,American History X,8.5,1264679
1995,83,Apollo 13,7.7,334067
1993,84,The Fugitive,7.8,343588
1994,85,Clerks,7.7,239586
1990,86,Dances with Wolves,8,307881
1996,87,Stealing Beauty,6.5,32225
1994,88,The Madness of King George,7.2,19909
1993,89,The Joy Luck Club,7.7,19538
1998,90,Central Station,8,50190
1995,91,Babe,6.9,141404
1996,92,Sling Blade,8,104289
1994,93,Pom Poko,7.2,38445
1991,94,Terminator 2: Judgment Day,8.6,1273844
1997,95,Midnight in the Garden of Good and Evil,6.6,43459
1993,96,Shadowlands,7.3,21470
1997,97,Gattaca,7.7,344430
1999,98,The Matrix,8.7,2226714
1992,99,Dracula,7.4,266695
1990,100,The Godfather Part III,7.5,451525
