year,rank,title,imdb_score,num_ratings
1980,1,Raging Bull,8.1,407273
1982,2,E.T. the Extra-Terrestrial,7.9,468416
1981,3,Raiders of the Lost Ark,8.4,1103401
1984,4,Amadeus,8.4,464600
1986,5,Platoon,8.1,469027
1988,6,Cinema Paradiso,8.5,314915
1984,7,Once Upon a Time in America,8.3,406010
1982,8,Blade Runner,8.1,875805
1985,9,Ran,8.2,150403
1989,10,Do the Right Thing,7.9,122886
1986,11,Blue Velvet,7.7,242384
1980,12,Star Wars: Episode V - The Empire Strikes Back,8.7,1491921
1980,13,The Elephant Man,8.2,280424
1980,14,The Shining,8.4,1214101
1987,15,Full Metal Jacket,8.2,844702
1985,16,Brazil,7.8,221360
1980,17,Airplane!,7.7,284640
1981,18,Das Boot,8.4,286256
1982,19,Tootsie,7.4,121376
1987,20,The Untouchables,7.8,351715
1984,21,The Terminator,8.1,995323
1988,22,Die Hard,8.2,1022949
1987,23,The Last Emperor,7.7,118708
1982,24,Gandhi,8,246610
1987,25,Raising Arizona,7.3,159623
1987,26,The Princess Bride,8,482260
1983,27,The Big Chill,7.1,45144
1982,28,Fast Times at Ridgemont High,7.1,123987
1983,29,Scarface,8.3,1004590
1983,30,A Christmas Story,7.9,180359
1982,31,Poltergeist,7.3,193633
1983,32,Terms of Endearment,7.4,69925
1984,33,This Is Spinal Tap,7.9,159800
1989,34,Crimes and Misdemeanors,7.8,63020
1989,35,"Sex, Lies, and Videotape",7.2,63965
1985,36,Back to the Future,8.5,1437106
1988,37,Rain Man,8,580456
1980,38,Ordinary People,7.7,61430
1988,39,Who Framed Roger Rabbit,7.7,231896
1986,40,Hannah and Her Sisters,7.8,81128
1989,41,When Harry Met Sally...,7.7,269627
1989,42,Henry V,7.5,33199
1984,43,Blood Simple,7.5,112977
1983,44,The Right Stuff,7.8,68683
1985,45,The Color Purple,7.7,103424
1980,46,Kagemusha: The Shadow Warrior,7.9,40680
1987,47,Wings of Desire,7.9,83255
1989,48,The Little Mermaid,7.6,309662
1983,49,Tender Mercies,7.3,13260
1981,50,Chariots of Fire,7.1,70537
1986,51,Salvador,7.3,25022
1980,52,Atlantic City,7.3,19536
1989,53,My Left Foot,7.8,84612
1989,54,Glory,7.8,152814
1986,55,Jean de Florette,8.1,29157
1984,56,The Killing Fields,7.8,63256
1980,57,The Last Metro,7.3,16812
1985,58,A Room with a View,7.2,51909
1984,59,A Passage to India,7.3,22909
1982,60,Missing,7.7,25429
1984,61,Places in the Heart,7.4,15243
1984,62,A Soldier's Story,7.2,12401
1985,63,Prizzi's Honor,6.7,28462
1988,64,A Fish Called Wanda,7.5,164482
1985,65,Witness,7.3,112949
1989,66,Driving Miss Daisy,7.3,123553
1982,67,Fanny and Alexander,8.1,71005
1983,68,Star Wars: Episode VI - Return of the Jedi,8.3,1199537
1984,69,A Nightmare on Elm Street,7.4,288680
1987,70,Broadcast News,7.3,36540
1982,71,The King of Comedy,7.8,131257
1988,72,Bull Durham,7,63701
1988,73,The Vanishing,7.6,54142
1987,74,Hope and Glory,7.3,15805
1981,75,My Dinner with Andre,7.7,29996
1989,76,Field of Dreams,7.5,137839
1986,77,Hoosiers,7.4,56562
1984,78,Ghostbusters,7.8,483777
1985,79,The Breakfast Club,7.8,469320
1988,80,Big,7.3,258236
1980,81,Caddyshack,7.2,133752
1981,82,Arthur,6.9,33266
1985,83,Kiss of the Spider Woman,7.3,19153
1986,84,The Color of Money,7,100328
1986,85,She's Gotta Have It,6.8,17526
1981,86,Body Heat,7.4,43549
1982,87,The Executioner's Song,7,2239
1987,88,Moonstruck,7.2,77984
1980,89,The Stunt Man,6.9,11433
1983,90,Local Hero,7.3,29348
1980,91,Melvin and Howard,6.8,5720
1988,92,Dangerous Liaisons,7.5,79487
1986,93,Ferris Bueller's Day Off,7.8,412877
1981,94,The Road Warrior,7.6,212003
1988,95,The Last Temptation of Christ,7.5,67426
1986,96,Mona Lisa,7.3,20268
1987,97,Fatal Attraction,6.9,110207
1985,98,Out of Africa,7.2,92205
1986,99,Stand by Me,8.1,482384
1985,100,Lost in America,7,11296
