year,rank,title,imdb_score,num_ratings
2003,1,21 Grams,7.6,252742
2005,2,A History of Violence,7.4,271192
2007,3,Atonement,7.8,325479
2007,4,The Edge of Heaven,7.7,35306
2007,5,"4 Months, 3 Weeks and 2 Days",7.9,65509
2008,6,The Hurt Locker,7.5,493910
2002,7,Distant,7.5,24544
2008,8,The Dark Knight,9.1,3133335
2001,9,Mulholland Drive,7.9,423816
2010,10,Black Swan,8,882392
2004,11,The Bourne Supremacy,7.7,510202
2007,12,The Bourne Ultimatum,8,681224
2002,13,Bloody Sunday,7.6,26644
2005,14,Brokeback Mountain,7.7,413755
2005,15,Caché,7.3,89725
2003,16,Elephant,7.1,103502
2007,17,No Country for Old Men,8.2,1174441
2003,18,The Return,7.9,49309
2003,19,Capturing the Friedmans,7.6,28540
2000,20,Cast Away,7.8,683984
2002,21,Road to Perdition,7.6,299116
2008,22,Revolutionary Road,7.3,234525
2004,23,Collateral,7.5,464001
2006,24,The Lives of Others,8.4,440779
2003,25,Good Bye Lenin!,7.7,159022
2003,26,Oldboy,8.3,709943
2009,27,Avatar,7.9,1485469
2007,28,American Gangster,7.8,482444
2004,29,Head-On,7.8,60494
2007,30,Zodiac,7.7,665241
2003,31,Dogville,8,167612
2000,32,Erin Brockovich,7.5,243289
2002,33,Gerry,6,20595
2000,34,Gladiator,8.5,1830068
2001,35,Gosford Park,7.2,101478
2005,36,Match Point,7.6,237937
2008,37,My Only Sunshine,7.2,3643
2003,38,House of Sand and Fog,7.5,75536
2006,39,300,7.6,907384
2010,40,Inception,8.8,2785965
2000,41,Memento,8.4,1423641
2006,42,The Prestige,8.5,1571659
2002,43,Irreversible,7.3,161256
2007,44,The Banishment,7.5,9514
2005,45,A Bittersweet Life,7.5,46785
2006,46,Destiny,7.7,20148
2006,47,Little Miss Sunshine,7.8,553526
2005,48,Munich,7.5,251989
2000,49,Requiem for a Dream,8.3,966116
2008,50,Revanche,7.5,17077
2004,51,Saw,7.6,505518
2006,52,The Departed,8.5,1540193
2010,53,The Fighter,7.8,405962
2002,54,The Pianist,8.5,1003318
2007,55,There Will Be Blood,8.2,700938
2010,56,Toy Story 3,8.3,961013
2009,57,Up in the Air,7.4,359572
2007,58,Michael Clayton,7.2,182852
2005,59,Walk the Line,7.8,279218
2008,60,Three Monkeys,7.3,24044
2000,61,In the Mood for Love,8,186001
2007,62,Egg,6.6,5969
2002,63,25th Hour,7.6,190817
2004,64,Before Sunset,8.1,312076
2002,65,Heaven,6.9,27053
2004,66,Spider-Man 2,7.5,775200
2006,67,United 93,7.6,115136
2001,68,The Lord of the Rings: The Fellowship of the Ring,8.9,2185092
2002,69,The Lord of the Rings: The Two Towers,8.8,1937865
2003,70,The Lord of the Rings: The Return of the King,9,2144362
2001,71,In the Bedroom,7.4,44202
2003,72,Mystic River,7.9,518408
2004,73,Million Dollar Baby,8.1,761685
2009,74,Inglourious Basterds,8.4,1760419
2010,75,The Social Network,7.8,813093
2002,76,City of God,8.6,864265
2006,77,Children of Men,7.9,562023
2007,78,The Assassination of Jesse James by the Coward Robert Ford,7.5,202962
2003,79,Kill Bill: Vol. 1,8.2,1293948
2007,80,Juno,7.4,570296
2005,81,Batman Begins,8.2,1698280
2004,82,Eternal Sunshine of the Spotless Mind,8.3,1172607
2001,83,Ali,6.7,109783
2003,84,Big Fish,7.9,476669
2003,85,The Last Samurai,7.8,501372
2000,86,Dancer in the Dark,7.9,123197
2004,87,3-Iron,7.9,61008
2004,88,Crash,7.7,460649
2005,89,Paradise Now,7.4,24787
2006,90,Borat,7.4,473109
2008,91,WALL·E,8.4,1307125
2008,92,The Wrestler,7.9,330089
2003,93,Pirates of the Caribbean: The Curse of the Black Pearl,8.1,1311214
2001,94,Black Hawk Down,7.7,451470
2002,95,Bowling for Columbine,7.9,152086
2009,96,Public Enemies,6.9,333608
2006,97,Casino Royale,8,738473
2006,98,Climates,7.1,15105
2007,99,In the Valley of Elah,7.1,77194
2005,100,Kingdom of Heaven,7.3,349132
